"DScore","WLoc","NumOT","Poss","Pace","Conf_Tour","DFGM","DFGA","DFGM3","DFGA3","DFTM","DFTA","DOR","DDR","DAst","DTO","DStl","DBlk","DPF","DFG.P","DFG3.P","DFT.P","DEFG.P","DTO.P","DOR.P","DDR.P","DFT.R","DORtg","DDRtg","DFTA.R","D3PA.R","DTS.P"
15,"H",0,57.575,57.575,0,3,2,7,9,2,2,3,4,8,2,-4,3,-1,0.040769230769231,0.166666666666667,0.041666666666667,0.106153846153846,0.018823301128749,0.114942528735633,0.114942528735633,0.030769230769231,26.052974381242,-26.052974381242,0.026153846153846,0.161538461538462,0.098912457564914
5,"H",0,63.1,63.1,0,1,-4,2,10,1,4,-2,4,5,-1,-3,5,-1,0.051314142678348,0.020833333333333,-0.119047619047619,0.073425114726741,-0.00473732841058699,-0.016666666666667,-0.0166666666666671,0.039632874426366,7.9239302694136,-7.9239302694136,0.108468919482686,0.222778473091365,0.060742414224076
5,"H",0,62.3,62.3,0,-1,-7,-2,-4,9,12,1,3,-2,1,2,-3,-3,0.027721433400946,-0.049122807017544,-0.214285714285714,0.015212981744422,0.015990538234439,0.042483660130719,0.042483660130719,0.181203515889114,8.02568218298561,-8.02568218298561,0.240027045300879,-0.033468559837728,0.052545743044475
24,"H",0,64.4,64.4,0,12,10,4,5,-4,-8,2,9,6,-8,7,-1,3,0.150124069478908,0.168449197860962,0.071428571428571,0.180831265508685,-0.097680344611402,0.114035087719299,0.114035087719299,-0.123449131513647,37.2670807453418,-37.2670807453418,-0.215880893300248,0.027915632754342,0.135962047141221
1,"A",0,67.375,67.375,0,2,4,3,5,-6,4,2,-4,2,-1,5,-2,0,0.00641711229946501,0.07843137254902,-0.331723027375202,0.030837789661319,-0.024273960273815,-0.002941176470588,-0.002941176470588,-0.133333333333333,1.4842300556586,-1.4842300556586,0.039928698752228,0.07379679144385,-0.036877421931605
31,"H",0,63.8875,63.8875,0,9,4,7,11,6,-1,0,10,10,-4,-1,0,-3,0.131868131868132,0.117543859649122,0.461904761904762,0.190247252747252,-0.055088697749348,0.08008008008008,0.0800800800800799,0.097527472527472,48.5227939737816,-48.5227939737816,-0.038461538461538,0.170329670329671,0.221236474322093
8,"H",0,61.325,61.325,0,-1,-6,-2,-8,12,14,2,5,3,1,2,3,-8,0.035714285714285,0,0.0235294117647059,0.017857142857143,0.010709025415878,0.111111111111111,0.111111111111111,0.333333333333334,13.0452507134119,-13.0452507134119,0.392857142857143,-0.142857142857143,0.062955624509327
2,"H",0,65.675,65.675,0,2,2,-3,-8,1,-2,2,2,1,1,-2,2,-1,0.019030627415998,-0.032467532467532,0.166666666666667,-0.00847457627118597,0.008560068403418,0.0571428571428571,0.0571428571428569,0.012786202795123,3.0452988199464,-3.0452988199464,-0.042224204579244,-0.148676776687482,0.00729695701108901
9,"H",0,69.7625,69.7625,0,6,-7,-2,-8,-1,-7,-6,10,1,4,-5,2,2,0.141935483870968,-0.00854700854700902,0.222826086956522,0.12991202346041,0.062323691846599,-0.019047619047619,-0.0190476190476191,0.012609970674487,12.9009138147285,-12.9009138147285,-0.080058651026393,-0.09208211143695,0.131820626250655
10,"A",0,57.7125,57.7125,0,0,-16,7,4,3,1,-9,10,0,6,0,1,-3,0.126133228222309,0.297979797979798,0.106060606060606,0.213835238470634,0.104469987841996,-0.080426356589147,-0.080426356589147,0.158060701616082,17.3272687892573,-17.3272687892573,0.155695703586913,0.206543161214032,0.211455256052901
4,"A",0,59.3125,59.3125,0,2,6,-3,4,3,1,4,1,-1,2,0,5,-1,-0.008028904054596,-0.333333333333333,0.130718954248366,-0.044761140104376,0.011170782070396,0.095535714285714,0.0955357142857139,0.030108390204737,6.74394099051629,-6.74394099051629,-0.02207948615014,0.04656764351666,-0.020989028696929
4,"H",0,63.2625,63.2625,0,-2,2,-3,3,11,5,-2,-3,-4,-8,6,2,-1,-0.056022408963586,-0.292207792207793,0.379679144385027,-0.08703481392557,-0.094599033507719,-0.073863636363636,-0.073863636363636,0.208483393357343,6.3228610946454,-6.3228610946454,0.084433773509404,0.050020008003202,-0.00175707024752603
9,"A",0,66.2875,66.2875,0,-3,-7,3,-1,12,11,4,8,8,2,-1,-5,-6,-0.00315208825847102,0.165789473684211,0.217948717948718,0.032899921197794,0.029082072147952,0.136405529953917,0.136405529953917,0.277383766745469,13.5772204412597,-13.5772204412597,0.269897557131599,0.033884948778566,0.090944790024529
5,"H",0,67.8125,67.8125,0,1,-7,-5,-12,8,15,3,10,3,3,3,2,-3,0.065515350877193,0.00432900432900502,-0.0399999999999999,0.0350877192982459,0.034528464444297,0.124031007751938,0.124031007751938,0.151864035087719,7.37327188940101,-7.37327188940101,0.28234649122807,-0.147203947368421,0.035373700709454
24,"H",0,77.325,77.325,0,2,-14,6,4,14,14,-5,8,7,2,-1,1,-10,0.16083916083916,0.242424242424242,0.123529411764706,0.22465034965035,0.034051155588691,-0.091216216216216,-0.091216216216216,0.326340326340326,31.0378273520855,-31.0378273520855,0.350815850815851,0.15034965034965,0.231078697652724
7,"H",1,69.075,61.4,0,5,-3,-3,0,0,0,-7,1,4,-6,5,-3,0,0.111598746081505,-0.2,0,0.087147335423197,-0.056409973457547,-0.139784946236559,-0.139784946236559,0.010344827586207,10.1339124140427,-10.1339124140427,0.015987460815047,0.014106583072101,0.077444153965132
6,"A",0,69.85,69.85,0,0,-7,2,3,4,6,-5,0,-2,1,1,2,-1,0.046052631578947,0.055023923444976,-0.032983508245877,0.068393640350877,0.017328248967194,-0.083655083655084,-0.083655083655084,0.106633771929825,8.58983536148899,-8.58983536148899,0.149396929824561,0.089089912280702,0.070561554136263
1,"A",0,62.125,62.125,0,2,0,-6,-9,3,6,5,10,-6,1,0,6,1,0.035714285714286,-0.178321678321678,-0.0555555555555559,-0.017857142857143,0.005875173412377,0.19847972972973,0.19847972972973,0.053571428571428,1.6096579476861,-1.6096579476861,0.107142857142857,-0.160714285714286,-0.014079520731357
12,"A",0,64.2125,64.2125,0,4,-5,1,0,3,7,-11,-5,2,-10,6,1,-1,0.112348178137652,0.052631578947369,-0.082222222222222,0.126180836707152,-0.104400644096125,-0.25,-0.25,0.079622132253712,18.6879501654659,-18.6879501654659,0.16497975708502,0.032051282051282,0.105934878888705
2,"H",0,69.375,69.375,0,-5,-15,-5,-12,17,22,-1,6,-6,3,-4,0,-6,0.038636363636364,-0.172932330827068,0.123015873015873,-0.00340909090909103,0.047720720100495,-0.006535947712418,-0.00653594771241794,0.479545454545455,2.88288288288281,-2.88288288288281,0.645454545454545,-0.170454545454545,0.057581710208041
1,"H",1,65.9,58.5777777777778,0,2,0,0,-1,-3,2,1,2,3,0,0,-2,-1,0.040816326530613,0.018382352941176,-0.186086956521739,0.040816326530612,-0.00227689396179601,0.041935483870968,0.041935483870968,-0.061224489795918,1.5174506828528,-1.5174506828528,0.040816326530612,-0.020408163265306,-0.000119930885543962
26,"H",0,67.725,67.725,0,10,1,7,4,-1,2,-2,3,8,-6,0,-1,-1,0.151561699948797,0.227272727272727,-0.2,0.206349206349206,-0.0707417747880624,-0.013184584178499,-0.013184584178499,-0.0176651305683568,38.390550018458,-38.390550018458,0.029185867895545,0.057859703020994,0.174558003369151
18,"H",0,68.5625,68.5625,0,1,-3,-2,-2,18,23,4,5,9,-8,5,1,-10,0.051020408163265,-0.061919504643963,0.0192307692307691,0.0352706299911271,-0.104870354652994,0.149014778325123,0.149014778325123,0.407275953859805,26.2534184138557,-26.2534184138557,0.521295474711624,-0.018189884649512,0.068956618288307
2,"H",0,64.9125,64.9125,0,1,0,-3,-3,3,-1,0,3,4,1,-2,3,-4,0.015384615384616,-0.093301435406698,0.274725274725275,-0.007692307692308,0.011833990974474,0.027472527472528,0.027472527472528,0.046153846153846,3.081070672059,-3.081070672059,-0.015384615384615,-0.046153846153846,0.017356451410883
4,"H",0,63.95,63.95,0,-1,-7,-3,-1,9,18,-4,-4,0,-6,8,-1,-11,0.042780748663102,-0.203296703296703,-0.022332506203473,0.016488413547237,-0.066892748452157,-0.125,-0.125,0.22638146167558,6.25488663017981,-6.25488663017981,0.449643493761141,0.020944741532976,0.021592792325921
7,"H",0,63.925,63.925,0,1,-6,1,-4,4,2,0,8,7,4,1,-2,-5,0.064935064935065,0.1875,0.113636363636364,0.080705009276438,0.057012235633815,0.0625,0.0625,0.112801484230055,10.9503324208052,-10.9503324208052,0.089795918367347,-0.046011131725418,0.095631871050648
5,"A",0,73.575,73.575,0,3,2,2,1,-3,0,8,7,5,8,-5,0,4,0.038078902229846,0.163636363636364,-0.081081081081081,0.05557461406518,0.075477686273233,0.21021021021021,0.21021021021021,-0.071012006861063,6.79578661230001,-6.79578661230001,-0.025385934819897,0.011320754716981,0.019999587561891
7,"A",0,61.975,61.975,0,-2,-6,5,11,6,12,-2,-1,0,-4,6,1,-8,-0.000949216896060978,0.181818181818182,-0.103703703703703,0.058614143331751,-0.04003799696454,-0.048739495798319,-0.0487394957983199,0.170859041290935,11.2948769665187,-11.2948769665187,0.321784527764594,0.287138111058377,0.064802412087567
21,"H",0,69.775,69.775,0,-2,4,11,23,14,6,-2,-4,8,-8,5,2,-3,-0.0755494505494511,0.262096774193548,0.350961538461538,0.021978021978022,-0.098950852690142,-0.082111436950146,-0.082111436950146,0.233516483516483,30.096739519885,-30.096739519885,0.071428571428571,0.399725274725275,0.094396864059785
16,"H",0,60.3125,60.3125,0,6,-15,3,-4,1,3,-11,10,8,2,1,4,2,0.189327485380117,0.196190476190476,-0.036184210526316,0.228435672514619,0.03849622116374,-0.034198113207547,-0.034198113207547,0.050438596491228,26.528497409326,-26.528497409326,0.111111111111111,0.021198830409357,0.201238110278769
5,"A",2,77.6375,62.11,0,6,-11,3,-7,-10,-9,-6,10,8,9,-5,-4,4,0.150243040212107,0.244565217391304,-0.158620689655172,0.178082191780822,0.108297635799638,-0.025341130604289,-0.025341130604289,-0.107821475916925,6.4401867654162,-6.4401867654162,-0.074679628811313,-0.0570039770216531,0.119902569340772
2,"A",0,66.175,66.175,0,-3,-19,-2,-10,10,10,-8,9,-2,5,3,1,-2,0.096747967479674,0.011695906432748,0.208333333333333,0.08780487804878,0.099157394975947,-0.126086956521739,-0.126086956521739,0.282520325203252,3.02228938420851,-3.02228938420851,0.305691056910569,-0.097154471544716,0.139634453023924
2,"H",0,66.2125,66.2125,0,1,11,4,8,-4,3,2,-12,7,-11,4,-4,-4,-0.062205188679245,0.084705882352941,-0.297826086956522,-0.037441037735849,-0.140848372111883,-0.092424242424242,-0.092424242424242,-0.124115566037736,3.020577685483,-3.020577685483,-0.017983490566038,0.069870283018868,-0.080846179512846
1,"H",0,63.475,63.475,0,-2,-3,2,2,3,6,0,0,-1,0,-2,2,-5,-0.014161220043573,0.074303405572755,-0.055555555555555,0.00816993464052301,0.000794474693332992,0,0,0.072984749455337,1.57542339503699,-1.57542339503699,0.137254901960785,0.057734204793028,0.00924260591526704
8,"A",0,64.7875,64.7875,0,1,-2,6,7,0,7,1,1,3,-3,-1,2,-5,0.0367066895368781,0.181372549019608,-0.275757575757576,0.094682675814751,-0.037485442546584,0.033333333333333,0.033333333333333,0.008919382504289,12.348060968551,-12.348060968551,0.142367066895369,0.143739279588336,0.051444997804003
14,"H",0,66.1875,66.1875,0,-1,-5,9,9,7,11,-2,1,10,-6,6,-1,-4,0.030267295597484,0.45,0.0420168067226889,0.124017295597484,-0.065177024678957,-0.036053130929792,-0.036053130929791,0.163522012578616,21.152030217186,-21.152030217186,0.262578616352201,0.209119496855346,0.112359513047566
4,"H",1,68.7125,61.0777777777778,0,-3,-14,-4,-11,14,21,0,9,-4,5,-4,1,-8,0.053365887687478,0.09090909090909,-0.099431818181818,0.035228461806766,0.064421936875011,0.073502722323049,0.073502722323049,0.341820718521103,5.82135710387439,-5.82135710387439,0.500523194977328,-0.126613184513429,0.064888285211066
8,"H",0,68.25,68.25,0,-2,-4,4,1,8,18,4,0,-2,-2,2,3,-8,-0.00476190476190402,0.170995670995671,-0.168498168498169,0.033928571428571,-0.027546377420805,0.067399267399267,0.067399267399267,0.163095238095238,11.721611721612,-11.721611721612,0.346428571428571,0.042857142857143,0.02139068452947
13,"H",0,66.9125,66.9125,0,5,14,2,3,1,-1,2,-5,6,-12,-2,0,2,-0.0429252782193951,0.066666666666667,0.053475935828877,-0.038155802861686,-0.165042831214307,-0.014492753623189,-0.0144927536231889,-0.173290937996821,19.428357930133,-19.428357930133,-0.271860095389507,-0.0302066772655,-0.032274893201849
13,"A",0,64.7375,64.7375,0,3,5,5,10,2,5,2,-3,-3,-7,3,0,-3,0.013832658569501,0.05,-0.0700483091787439,0.051788124156545,-0.092513789164355,0.00627240143369201,0.00627240143369201,0.013157894736842,20.081096736822,-20.081096736822,0.057354925775979,0.141700404858299,0.036519610599318
14,"H",0,59.225,59.225,0,6,-4,1,-12,1,0,2,11,6,4,-1,0,-5,0.136653895274584,0.25,0.0909090909090911,0.150383141762453,0.057273768613975,0.150635208711434,0.150635208711434,0.028735632183908,23.6386661038412,-23.6386661038412,0.014048531289911,-0.186462324393359,0.147569744363442
20,"H",0,62.1625,62.1625,0,8,9,1,4,3,5,5,4,1,-6,7,5,1,0.085185185185185,-0.020594965675057,-0.00366300366300398,0.081481481481481,-0.096225803073607,0.140819964349376,0.140819964349376,0.00740740740740703,32.1737381862051,-32.1737381862051,0.014814814814814,0.00370370370370399,0.06651649907319
2,"A",0,62.725,62.725,0,5,6,0,4,-8,-10,-1,-2,-3,-4,4,0,1,0.042424242424242,-0.033437826541275,-0.1875,0.036363636363637,-0.047437728736487,-0.03525641025641,-0.03525641025641,-0.137878787878787,3.188521323236,-3.188521323236,-0.175757575757576,0.016666666666667,0.00606433675815299
12,"A",0,67.375,67.375,0,4,-2,8,5,-4,-12,-4,5,2,1,-1,3,8,0.099239695878351,0.38034188034188,0.217317487266553,0.182072829131653,0.02874887661346,-0.054117647058824,-0.054117647058823,-0.064825930372149,17.810760667903,-17.810760667903,-0.220088035214086,0.112444977991196,0.172051074507994
